,reviews,stars,Compound Score,Sentiment,word_count
0,"So I don't write reviews but I believe for this kind of product it's a little scary because about 50% of KN masks are not protecting the consumer because of either bad stitching or they are not using the proper materials. For the amount of money we are wasting we need real reviews with proper feedback. Ttimes like these it's hard to let a dollar go to waste.Okay, so I just received mines and immediately went and did the water test. For those that don't know, you want to do a water test to make sure droplets aren't going in nor are they coming out. So what you do is put water inside the mask and hang it by the ear handle things and keep it there for a while. If you see water coming out even a drop then that represents a leakage and it's no good. So far I'm about 10 minutes in and I see no leakage. If I see any I will update this review.This review is for the Black KN 95 mask 20Pcs",5,-0.9473,Negative,178
1,"I am vigilant about wearing masks during the covid pandemic. I had 4 N95s from previous home improvement projects at the start of the pandemic, now it is December and they are all used up. Looking for replacements, I saw these and liked the looks of them. They arrived today, and so far I’m well pleased. I have a medium size head. I gave some to my dear neighbors who likewise have medium size heads and they were highly impressed.
The front of the mask is well off my nose and mouth, making talking and vigorous breathing easier. The seal around the edges of the mask seem tight and secure, even around the nose (I wear glasses, and recommend wearing the mask high on the bridge of the nose and using glasses to help secure the upper seal). My glasses fog some, slightly less than with the N95s, but it’s a function of wearing cold glasses next to water vapor in a northern Michigan winter. I’m unused to ear loops, but I expect I’ll adjust. The ear loops seem snug. There was a faint “new mask” smell, it was tolerable and quickly disappeared. I like that black hides grime well (my trusty N95s, once white, are not any more).
These are true 5-layer masks, good fit, good price. I will heat sanitize, and put several in rotation, to extend their functional usefulness. With some luck, 5 of these will see me through to vaccination (I have a strong background in physiology, molecular biology and immunology, I would take either of the first two approved vaccines without hesitation) and until the “all clear” is given.
Good luck y’all, god bless, and see you downrange.",5,0.9966,Positive,283
2,"Pros:
--All 20pcs KN95 masks arrived in an exquisite sealed bag.
--Try to tugged on a couple ear loops, very strong, none have broken.
--Snug fit, soft, and comfortable.
--Receive in 5 days, 1 day delaied, but ok for me.
--Certificated manufacturer, I have searched the manufacturer at the time when receiving the package, and found it on the FDA list. I believe the mask can offer trusted protection.

Cons:
--Have a very very slight smell but it did subside after a while, maybe I am sensitive.
--Don't feel as heavy as those my friend gave us, but close, I think they are good.

Others:
--Have a feeling that we'll use masks for a while since winter is coming, so I consider ordering.",5,0.9713,Positive,123
3,"I have been wearing masks whenever, I leave home. The KN95 masks are, the best I have worn without doubt. At the beginning, I feel hesitate to buy these mask because I think it is hideous beak shaped. But its coverage is fantastic, fitting closely around my face. I feel much safer than I have in any other common mask I wear before. One small complaint is that the tight fit may slightly decreased comfort--but I would rather have a mask with well protection than one that hangs loosely. Most importantly, this is the first mask I've used that doesn't fog my glasses; probably because the nose bridge clip can be adjustable to a tight-fitting. Overall, I recommend these KN95 masks.",5,0.965,Positive,121
4,"Price good, looks good, works well with different situation, speedy shipment...thx",5,0.7845,Positive,11
5,I ordered these because I read some of the f the reviews and I was specifically looking for black N95 masks. These masks were perfect - no smell - to any one them like some of the reviews had said. I will orders these again.,5,0.6124,Positive,45
6,"Your browser does not support HTML5 video.
 I had to do some research after I got these and saw reviews that they were expired and repackaged....so not the case but ""2019"" is the model # not expiration date. I attached the picture from CDC that approved GB 2626-2019 as kn95 masks. They don't recommend this in the medical field but instead of surgical masks or homemade masks. My town actually used to give these out but from the Arun brand, and we found them super comfortable an easy to breathe in. These are actually a bit thicker but still very comfortable and for anyone that wears glasses, these won't fog up your glasses. They are a bit smaller but my husband prefers these from the Arun's bc he doesn't have to adjust it to not make it fog his lenses and they fit his face just fine. ...also...I washed them by accident and they came out just fine :) hope 20 can last me a couple months.",5,0.9852,Positive,167
7,"Good quality, very comfy. Easier to breathe compare to most 3M masks, and seal pretty tight. Something must have when traveling.",5,0.8473,Positive,21
8,The smell is bad. It's really strong when you take them out the bag. They are grouped by 10 and all of them stunk.,1,-0.3626,Negative,24
9,Too small for the average male adult,1,0.0,Neutral,7
10,"We are now in year #2 of the COVID-19 crisis. For the first year I had been using a really good cloth mask with filter insertion. I actually prefer these type of masks due to the fact they are lighter and washable.

However, now we find ourselves with a new U.K. variant of the virus that spreads much faster/easier than the Devil we know already. Those dinky masks that most of us have been wearing are going to offer minimal protection against this new threat.

It's a tough choice when looking over a wealth of mask choices as to whether you are getting a product that will actually protect you. As you are doing now, I poured over dozens of Amazon products and reviews. I also did some basic Google research on the best masks to buy and this one came up repeatedly.

This is a KN95 mask which is a variant of the N95 mask that healthcare workers use in hospitals. N95 masks are the US standards for respirator masks; KN95 masks are the Chinese standards for masks. KN95 standards include testing for fit, while the N95 doesn't. There is quite a bit of controversy over how effective KN95 masks like these are (compared to N95) so it's difficult for me to make the argument that these will be as effective as the PPE used in hospitals despite the claims made by the manufacturer. One positive notation to make is that this manufacturer appears on the FDA approved list.

What I can tell you is that the masks do appear to live up to the manufactur's claim. This seems to be an extremely well-made product that features 5 layers of protection. Once looped to the ears, the fit and seal is very tight. While not as comfortable and easy to breathe as cloth counterparts, these certainly feel as if they offer superior protection.
For those of you like myself who wear glasses, this mask features an adjustable clip which allows the mask to bridge nicely around the nose. Unfortunately, no matter how tightly I adjusted the clip, I found there still to be just a little bit of fogging on my glasses, though extremely minimal and a HUGE improvement over cloth masks.

Honestly, I don't like the ""beak"" look of these KN95 masks, but we have come to the point in this crisis where protection is more important than being fashionable. I decided to go with black as I wanted to have that ""Bane"" look from the Batman comics/movie. The adjoining loops and their connectiive joints feel very strong. This mask doesn't feel cheaply made and I certainly feel more confident that I am well protected while wearing it.

These arrive as a box of 20 masks. The masks are not individually wrapped but rather presented as two sealed packages of 10.

With the new U.K. variant set to dominate our country by March, everyone should be looking at change up to N95/KN95 masks. These seem to be one the most effective means of protecting one's self.",5,0.9854,Positive,508
11,"Your browser does not support HTML5 video.
 Anyone else sick of covid? These seem to be pretty nice disposable KN95s. The Blackness matches my soul at this point.

The ear loops are soft and good quality. The nose piece has metal reinforcement and stays bent how you put it.",5,0.5175,Positive,49
12,Returned. Masks arrived. Have an odor when put on. Made in China. Didn’t like the odor with a mask.,1,0.3612,Positive,19
13,"I heard on the news that some masks are fake and some where intexepted in NY by customs, now I don't know if these are real or not, am afraid if they are fake I have not been protected as I thought I was. Be careful when buying.",1,-0.7909,Negative,48
14,The mask loops are way too small for an adult face. Seems to be made for children. The loops hurt your ears.,1,-0.5267,Negative,22
15,Snug and comfy fit,5,0.3612,Positive,4
16,These masks have a strong chemical smell. I wore one for five minutes and it actually gave me a headache. They've been returned.,1,0.5106,Positive,23
17,"The mask smells like a combination of a strange chemical and smoky beef jerky. The only way I can wear one is to hang it on the screen porch with the fan running for four of five days. That helps, however does not completely get rid of the smell. I am concerned about what I am breathing. Is is worse for me than COVID? I hope not a purchased a big package of these.

The piece which goes over the ears is too small, my husband and I are not large people, yet it pulls our ears forward, so that they hurt.

I do like that there is more room in the face area, that is a plus

I do not recommend this product.",2,0.2792,Positive,124
18,"My husband and I are tall but slim people: 5'8"" 155 lbs for HER and 6 ft./157 lbs for HIM. The mask fits HER perfectly. I enjoy having room in the mask so that it's not brushing my lips when I talk or sing. The elastics are fairly soft and comfortable. For HIM, however, the ear elastics were TOO TIGHT :( I had to splice an additional 3/4-1 inch into each loop to prevent uncomfortable pressure, or it would never be comfortable for a plane ride. I'm glad I have elastic and the ability to sew, but I bought these masks hoping that they would fit ""as is"".",3,0.9516,Positive,108
19,"I am a petite adult with a small face. I would say this mask best fits for a small or medium face. I love that it’s black, and it passed all of the tests for KN95 (candle test, water test) in addition to being on FDA approved list. These masks are well-made and I haven’t had any issues with the ear loops coming off or tears. This is a good purchase for those wanting a little extra protection when out and about.",5,0.9217,Positive,82
