,reviews,stars,Compound Score,Sentiment,word_count
0,"What a book! Wow!!
If you want a strong, courageous, downright heart wrenching novel with a woman named Elsa Martinelli and her lionhearted children, this is it!
Elsa Martinelli has a good life living on a farm with her in-laws and two children in Texas during the 1930's.

Then in the blink of an eye --- The dust bowl comes with no rain, wind storms and no crops! Their farm animals are dying, crops are withered, and food and water are scarce! People have dust pneumonia.
Life has taken a dramatic turn!
Elsa decides after much turmoil to take her children and seek out a better life in California.
""Courage is fear you ignore."" She will make this journey for her family!
This is the land of hope, good and plenty!
Will they find the rainbow or just more devastation?

At this time in our country with our own pandemic, this is certainly an emotional, thought provoking novel that I read deliberately.
I could feel all the pain, heartache and challenges during this time in history and how similar they are at this present time to then!
Ten stars for this brilliant story!
It will not be forgotten anytime soon!",5,0.9782,Positive,200
1,"It's now 3:00AM and I'm sitting in my living room, and I'm so moved and ready to fight..
As we enter a new year with the same pandemic and political strife, so much of this book will open your eyes to the plight of those less fortunate trying to feed their families and make a living in dire times and trying to right wrongs. Sound familiar? It's Heartbreaking that we are fighting for the same BASIC human rights as we did 90+ YEARS AGO!!!
The hardships faced by Elsa are simply relentless. Kristin Hannah wrote a visceral, richly detailed and atmospheric novel that will transport us back to the Dust Bowl and to the migrant settlements in California afterward, This is such a fascinating tale filled with captivating historical detail that gets glossed over in history books, Learning about the ""company store"" and how American citizens were forced to be basically slaves to these large farmers was eye-opening to me and I felt the desperation and hopelessness these people must have felt because they had nowhere to go and no one to turn to.
By the end of this book, I cried, I raised my fist in the air.. and I also wondered Kristin Hannah has written so many great novels that one can only ponder if she can continue on the winning streak..
Her writing will break you, move you, and heal you -all at once and she offers no regrets only explanations of why, how, and when she decided to choose such subjects to tackle with the upmost of respect, dignity, and courage.
Kristin Hannah began writing this novel over three years ago, before the pandemic, before the skyrocketing unemployment that would follow. And yet, this story is so relevant to our current days, the isolation, dwindling funds, people, as she says in her note at the end, frightened for their future, men in power shushing voices in order to further their own desires, wanting us to pay attention to what they say and not what they really mean or what they show by their actions. Or, as the Wizard of Oz said: ’Pay no attention to that man behind the curtain.’",5,-0.2941,Negative,364
2,"It is a good book with great writing. It is just so sad and depressing.
I am sure there are those who won’t agree with that,
But I just couldn’t find any joy in the book",4,0.8259,Positive,36
3,"This is an amazing author, I’ve loved her work.
Am disappointed in her crafted story to promote Communism, wish I hadn’t spent $14.99 to support it.",1,0.9118,Positive,26
4,Unbelievable. I sit here in literal tears... bawling. Best book I’ve ever read. Could not put it down. Continued needing to know what would happen next. My head is spinning. My words are scrambled in my head because my emotions are everything. NO MORE.,5,0.2885,Positive,44
5,"I started this book right after breakfast yesterday morning, and nust finished it. Though set in the 1930s, every face, every situation, every description,was an overlay of right now. And the question, ""are we as resilient as we were to see this to a better end for us?"". This book captured the strength and will and love that we jave as Americans, and the tenacity and courage to fight for a better way. Kristin Hannah, this is the best one yet.",5,0.9584,Positive,81
6,"Was so excited when the book arrived. But why, the book club decal. It ruined my beautiful jacket cover",5,0.4672,Positive,19
7,"I apologize, I had written a review saying there was dirt on inside, and my daughter looked and said that is a glitter look and is supposed to be there. Sorry, aging eyes! I love Kristin Hannah books",5,0.4926,Positive,38
8,"Khristin Hanna is one my absolute favorite authors. Having said that, I was so disappointed with “Four Winds”. I just didn’t need liberal guilt about the homeless in America. This was a different time and different circumstances. Yes, homelessness is tragic. However the folks in this book were not the same as today’s homeless. Think about all the government help folks now days get. It was just TOO subtle political for me.",2,-0.1757,Negative,72
9,"Kristin Hannah novels are so hit and miss for me.

For instance, I absolutely loved Night Road...it's probably one of my all-time favorite books. Yet, I really hated the The Nightingale.

And here's why...

Every time I read Hannah's historical fiction, I end up feeling as though she researches like a mad woman, jots down every tragedy she can find during that time period, and then destroys her main character by making her suffer through every. single. calamity.

It's too much.

This book was so horribly depressing, and was so full of misery and death (animals included...it's bad, friends), that I couldn't wait for it to end. There was zero enjoyment while reading this. Yes, it's well-written, and yes, Ms. Hannah knows how to ratchet up the tension...but man, balance is a good thing. The constant darkness is overwhelming.

The conclusion was completely predictable and emotionally manipulative. I know I was supposed to break down into devastated tears, but instead, I let out a huge sigh and rolled my eyes. Does that count? I think I just need to stick to her contemporary books and skip the historical options.

I'm once again in the minority here, so read it...you know you want to.

TRIGGER WARNING: CONSTANT ANIMAL SUFFERING AND DEATH

2.5 stars
Available February 2, 2021

Despite my less than enthusiastic review, I'd like to thank NetGalley and St. Martin's Press for my review copy.",2,-0.9534,Negative,235
10,"""...she knew how dangerous escape could be. Survival took grit and courage and effort.""

The Four Winds is actually the first book that I have read by Kristin Hannah even though I have heard time and time again how great many of her previous works are. Even with all the hype, I was still very impressed by her writing style, captive storytelling, and engaging characters that the reader truly gets to know and love. At time, I felt I was living Elsa's life, personally feeling her despair, hopelessness, and strength. I had never thought much about the daily lives of the struggling American farmers and workers during the Great Depression, so this book was eye-opening and informative. It gave me a deep appreciation for the courage they displayed in the fight for their lives and livelihoods. I think it's about time I finally get around to reading The Nightingale, as well.",5,0.9665,Positive,151
11,"Kristin Hannah has long been my best loved writer but this book was such a disappointment. I found it tedious, repetitive, and downright ddepressing. The storyline plodded along and i found myself skipping whole sections..... how many ways can you describe dust, drought, wind and floods? Important time in history but this book was as dry as the Dust Bowl itself.",1,-0.1779,Negative,61
12,"This book was incredibly depressing and pro-communism towards the end. It also ended extremely predictably. The characters were one dimensional, and not very likeable. The first few chapters were decent, and it just got sad, boring, and repetitive through the rest. Wish I could get my time and money back.",2,-0.8515,Negative,50
13,"I was happy to see a new book by one of my favorite authors, but will not be buying more. Be warned that this book is a political statement.",1,0.0727,Positive,29
14,I couldn’t wait for this book from a favorite author. No more. The tiny bit of light at the end was far too small to make up for all the sadness. The notes at the end tell us her family lost someone dear in this pandemic so it appears Ms Hannah wants to be sure everyone shares her grief. We are already there. I needed something to lift me above today’s darkness and this sure wasn’t it. I can’t recommend it to anyone and will in fact recommend my friends not to read it. Unfortunately I know some have already bought it. I’ll not buy any more by her.,1,0.6705,Positive,109
15,"If I had to read one more chapter about how downtrodden and virtuous the migrants and unionizers in 1930s California were, and how evil and greedy everyone else was, I was going to scream. I finished the book because I kept hoping the last third of the story would start moving beyond how awesome Communism in America in the 1930s was, but no such luck.

I started reading this because I kept hearing how good Kristin Hannah's books were. If she's this overwrought with all of her stories, I'll pass on the others. I'm giving two stars instead of one because the first quarter to a third of the book was actually pretty well-written.",2,0.7704,Positive,114
16,"Very slow moving and there did not seem to have a point - very disappointed, forcing myself to read it",2,-0.5256,Negative,20
17,Just too many tragedies to be a good book for me.,2,0.0,Neutral,11
18,"There aren't enough stars in the Galaxy to give this book. If I could reach out my arms and gather them all I would. I want to thank Kristin for writing this book of love and hope in a time that it's very much needed. As history once again finds itself with record high unemployment and scarey unknowns, this books shows us that life continues and perseverance will prevail.

A Mother's love is fierce and strong and knows no boundaries. Elsa, the girl who couldn't be loved by her family because of her weak heart and awkwardness grows up and shows the world her strength and courage. After being forced from her family for making a mistake, she learns about love and family from her husbands parents. But, when the drought hits and life gets hard, her husband wants more and leaves in search of it. Elsa once again has to pick up the pieces and protect her family. Year after year things get worse until she has to make a choice. Her son's life or the land that she has grown to love. It isn't even a question. She packs up everything and heads west along with the rest of the families in search of a better life.

Along the way she finds herself. Her strength and her courage. A purpose that she never knew she had. She teaches her kids the to be strong and she finds love along the way.

This book was so gut wrenching. Absolutely beautiful. I never wanted it to end. I loved reading about the dust bowl and the effect that it had on society back then. I loved that just because the grass was greener didn't mean that life was sweeter. The characters were written with such a depth that you could see them standing in front of you. From the red silk dress, the dust storms and the hunger, the words just flew off the page with such vivid color that had me longing for more.

It is really uncanny that Kristin started writing this book before the Pandemic. Because it struck home on so many different levels. Just the pure uncertainty of life right now. The unemployment, families struggling. It's really funny how history is always a huge part of our life and that it repeats itself in many different ways. But there is always HOPE.

I can't recommend this book enough. It truly is beautiful.",5,0.996,Positive,406
19,"I love Kristin Hannah's books. Not this one. What started out promising, just faded. Characters are one dimensional. Gaps in the back stories are never explored or non existent. There are just too many gaps in this story. The best part of her past works was the rich stories surrounding each of her main characters. I didn't care for any of the characters in this book because you never felt you had a chance to know them.

I can't tell you how many times I have reread each of her books. This will not be one. I'm embarrassed that I recommended the book prior to reading it.",1,0.9242,Positive,107
20,"Seems like she left a lot to the story; almost as if it were a ""paint by the numbers"" book. After reading a few of her other books I was expecting more...",2,0.3612,Positive,32
21,Absolutely hated this book. So depressing and almost TOO depressing for these times we are in. It didn’t take me long to read because I wanted to finish it and get it over with. I really like the author’s work but this was HORRIBLE.,1,-0.8896,Negative,44
22,"I know I’m in the minority here, but I have to write this review. I rarely write them except I finished the book a few days ago and it’s nagging on my mind to express how utterly disappointed I am with this book. This is my first time reading this author’s work and I only did because I am a history addict. The hype pulled me in as well, darn it! I’ll be brief. The characters were so dull and one dimensional that I thought I would lose my mind trying to discover even the smallest evidence of something more from each one. Yes, even the long suffering Elsa was painfully dull. The author used repetition unceasingly; did you know there are tumbleweeds in Texas? The only reason for adding an extra star is because I learned a handful of interesting facts about the Dust Bowl. I’m not even going to really complain about the ending because it was predictable and I was so glad to be done with the book. I felt cheated and robbed of my $14.99 when I finished the last sentence.",2,-0.974,Negative,185
23,"I agree with other reviews about her take on Communism, depressing, and not what we need to read right now. I've been a fan of Hannah since her first book and recent ones also. Our bookclub has read her last 3, but although historical in nature like Nightingale and Great Alone...this one had no hope. I've read other more accurate Dust Bowl accounts, and although tragic, it showed the strength of hard working Americans who found solutions and were hopeful for a better America...",1,0.9548,Positive,84
