,reviews,stars,Compound Score,Sentiment,word_count
0,"i have owned a few kindles now, 3 mindle keyboards, followed by a paperwhite (2014 model) and now this model.

this model does NOT allow the use of active content, so it is ebooks ONLY.

if you pay to remove ads, you lose 22$ and you KEPP the ADS you paid to REMOVE.

the weeks long battery life of previous models is not the same with this model, though the box suggests it is.

last night i recieved mine, charged it up fully, stuck it in my backpack and went to sleep, this morning it has about 10% of a charge in a period of about 10 hours without use.

the 2014 model is superior to this model in every way except storage space, but if you have to stay plugged into a wall i can read in color on my android tablet.

going to return this kindle, it is NOT as advertised.",1,-0.0848,Negative,153
1,I bought this kindle to replace an old keyboard one. I wanted one that I could read in bed without a light on and also needed to be able to adjust the type size. This meets my needs perfectly. I read about 45 min to an hour every day and the initial charge is still about 70% after a couple weeks. I purchased the bundle and like the fact that you simply have to close the cover to turn the kindle off. Very happy with my purchase.,5,0.8932,Positive,87
2,"I have had my kindle white for about 4 years, it is reliable, easy to read and easily to hold in any position while reading in bed or your big rig. Being able to order and download as much material as you want and not have to worry about disk space is nice,",5,0.8521,Positive,53
3,I can't insert the USB cable in my Kindle Paperwhite.,2,0.0,Neutral,10
4,"I received this as a gift to replace a beat up PaperWhite I'd had for a few years. I LOVE IT! It is lighter, brighter, so easy to use. Do wish it has an * in the keyboard, had to reset my Amazon password to connect. But this is great. I don't know about the charger, I have only used my old one, which fit fine.",5,0.9632,Positive,66
5,"This has quickly become one of my favorite things.
Things I love:
Backlighting- perfect for reading in darker spaces, such as in bed at night and while others in the room have the lights down to watch a movie.
Screen- is clear and not hard on the eyes at all. I can read for hours.
Waterproof- which makes this available for the beach or poolside.
Size- this is where I was unsure I would like the e-reader. However, I love it, it is compact without taking away from the reading experience, font sizes are adjustable and it feel seamless to switch from paper to this e-reader.
Battery- last for days with daily reading
I do not have any cons 2 months in",5,0.9612,Positive,122
6,"I am very happy with my new kindle. This was a replacement for my 2nd generation kindle and I couldn't be happier. I bought the bundle and the case is very nice. This is much smaller than my 2nd generation but that's because it's a touchscreen and there's no need to make it large with a keyboard. I decided to get the wifi only one because once you download load the books you don't need to be connected. I also got the one with special offers know I can pay 20$ at anytime to turn them off. The honestly don't bother me at all and so far the seem to be based on previous purchases. I'm looking forward to potentially finding a new book or series from the special offers. The things I like most are the size, weight, backlight and water resistance (my 2nd generation was destroyed by a water damage, freak accident caused by a leaky roof). At this time I've had no issues and have no complaints.",5,-0.33,Negative,170
7,"Kindle is great ... it's my third. However, did not receive the leather cover.",3,0.6249,Positive,14
8,"I bought this to replace the older model I lost. This paperwhite is not faster. It will only connect to 2.5ghz and not 5ghz. I have to disconnect many devices to get Wi-Fi.
The most disappointing thing is no easy way to download the files to be able to use the text to speech feature. I have spent hours talking to the customer service people trying to solve the problem. This is the second paperwhite I have purchased. The first one was sent back, because Amazon thought it was defective. The problem persists in the new paperwhite that was sent to me.",1,-0.9185,Negative,102
9,"I love my Kindle! It was very easy to set up, and I like that I can change the font settings/sizes if I wish. It is easy to adjust the light to read in the day or during the night. The battery life has been great, I try to read about an hour a day and after two weeks, it is down to 67%. I bought the bundle with the case and chord and I love the battery saving case, that turns it on when opened and off when closed. Overall I am completely satisfied with my purchase!",5,0.9808,Positive,98
10,"This is my 3rd Kindle. My first two were Fire tablets. The first one wore out and the second one got to heavy to read with my arthritic hands. The Paperwhite is light and easy to hold. My only complaint, and it's a major one for me, is that you can't change the lighting to night time reading before bed. It has the back light feature so you can read in bed without lights, but you can't switch it to the blue light feature to make it easier on your eyes so it doesn't interfere with sleep. This is pretty stupid since this is a reader only! My Fire Tablet had this feature and it was great. Not too smart on Amazon's part from my perspective.",4,0.613,Positive,126
